date,brutto_salary,mandatory_pension,private_pension,netto_salary,tax_paid_total,taxable_salary,personal_discount
2015-01-01,418974.20157610945,16759.0,8379.0,295769.0,98066.0,393835.0,50902.0
2015-02-01,421245.2924097884,16850.0,8424.0,297056.0,98914.0,395970.0,50902.0
2015-03-01,422338.7805889672,16894.0,8446.0,297675.0,99322.0,396997.0,50902.0
2015-04-01,423264.0398175031,16931.0,8465.0,298200.0,99668.0,397868.0,50902.0
2015-05-01,425366.90170053917,17015.0,8507.0,299391.0,100453.0,399844.0,50902.0
2015-06-01,434955.9518871837,17398.0,8699.0,304822.0,104035.0,408857.0,50902.0
2015-07-01,439918.70593114884,17597.0,8798.0,307633.0,105889.0,413522.0,50902.0
2015-08-01,441348.6520116134,17654.0,8826.0,308443.0,106424.0,414867.0,50902.0
2015-09-01,446647.86395686434,17866.0,8932.0,311445.0,108403.0,419848.0,50902.0
2015-10-01,448246.0389879717,17930.0,8964.0,312351.0,109000.0,421351.0,50902.0
2015-11-01,452199.4193280796,18088.0,9043.0,314590.0,110477.0,425067.0,50902.0
2015-12-01,456489.25756947324,18260.0,9129.0,317019.0,112080.0,429099.0,50902.0
2016-01-01,458423.8905018664,18337.0,9168.0,321680.0,109237.0,430917.0,51920.0
2016-02-01,474405.64081294066,18976.0,9488.0,330942.0,114998.0,445940.0,51920.0
2016-03-01,478443.13562836987,19138.0,9568.0,333282.0,116454.0,449736.0,51920.0
2016-04-01,479788.967233513,19192.0,9595.0,334061.0,116939.0,451000.0,51920.0
2016-05-01,482060.05806719203,19282.0,9641.0,335378.0,117758.0,453136.0,51920.0
2016-06-01,489209.7884695147,19568.0,9784.0,339521.0,120335.0,459856.0,51920.0
2016-07-01,489462.131895479,19578.0,9789.0,339668.0,120426.0,460094.0,51920.0
2016-08-01,490723.84902530065,19629.0,9814.0,340398.0,120881.0,461279.0,51920.0
2016-09-01,493499.6267109083,19740.0,9869.0,342007.0,121882.0,463889.0,51920.0
2016-10-01,494845.45831605134,19794.0,9896.0,342787.0,122367.0,465154.0,51920.0
2016-11-01,496191.28992119443,19848.0,9923.0,343567.0,122852.0,466419.0,51920.0
2016-12-01,498125.9228535877,19925.0,9962.0,344688.0,123549.0,468237.0,51920.0
2017-01-01,498294.1518042305,19932.0,9965.0,348277.0,120119.0,468396.0,52907.0
2017-02-01,500565.24263790954,20023.0,10011.0,349624.0,120907.0,470531.0,52907.0
2017-03-01,502415.7610949812,20097.0,10048.0,350720.0,121550.0,472270.0,52907.0
2017-04-01,503341.02032351715,20134.0,10066.0,351269.0,121871.0,473140.0,52907.0
2017-05-01,519659.22853587713,20786.0,10393.0,360942.0,127537.0,488479.0,52907.0
2017-06-01,524706.0970551637,20988.0,10494.0,363933.0,129290.0,493223.0,52907.0
2017-07-01,524790.2115304852,20992.0,10495.0,363983.0,129319.0,493302.0,52907.0
2017-08-01,525883.699709664,21035.0,10517.0,364631.0,129699.0,494330.0,52907.0
2017-09-01,529921.1945250933,21197.0,10598.0,367024.0,131101.0,498125.0,52907.0
2017-10-01,530509.9958523434,21220.0,10610.0,367373.0,131305.0,498678.0,52907.0
2017-11-01,531267.0261302363,21251.0,10625.0,367822.0,131568.0,499390.0,52907.0
2017-12-01,532276.3998340936,21291.0,10645.0,368421.0,131918.0,500339.0,52907.0
2018-01-01,534631.6051430941,21385.0,10692.0,370805.0,131748.0,502553.0,53895.0
2018-02-01,536734.4670261302,21469.0,10734.0,372051.0,132478.0,504529.0,53895.0
2018-03-01,538332.6420572376,21533.0,10766.0,372999.0,133033.0,506032.0,53895.0
2018-04-01,539930.8170883451,21597.0,10798.0,373946.0,133588.0,507534.0,53895.0
2018-05-01,552211.5304852758,22088.0,11044.0,381225.0,137853.0,519078.0,53895.0
2018-06-01,555912.5673994193,22236.0,11118.0,383419.0,139138.0,522557.0,53895.0
2018-07-01,558015.4292824554,22321.0,11160.0,384666.0,139868.0,524534.0,53895.0
2018-08-01,557510.7424305266,22300.0,11150.0,384366.0,139693.0,524059.0,53895.0
2018-09-01,561043.5503940274,22442.0,11220.0,386461.0,140919.0,527380.0,53895.0
2018-10-01,563230.5267523848,22529.0,11264.0,387757.0,141679.0,529436.0,53895.0
2018-11-01,564071.6715055993,22563.0,11281.0,388255.0,141971.0,530226.0,53895.0
2018-12-01,564155.7859809208,22566.0,11283.0,388305.0,142000.0,530305.0,53895.0
2019-01-01,565753.9610120282,22630.0,11315.0,391804.0,140003.0,531807.0,56447.0
2019-02-01,566931.5636665283,22677.0,11338.0,392503.0,140412.0,532915.0,56447.0
2019-03-01,568025.0518457071,22721.0,11360.0,393151.0,140792.0,533943.0,56447.0
2019-04-01,576520.6138531729,23061.0,11530.0,398187.0,143741.0,541928.0,56447.0
2019-05-01,580389.8797179593,23216.0,11607.0,400480.0,145085.0,545565.0,56447.0
2019-06-01,579801.0783907091,23192.0,11596.0,400131.0,144881.0,545012.0,56447.0
2019-07-01,581483.367897138,23259.0,11629.0,401129.0,145465.0,546594.0,56447.0
2019-08-01,581651.596847781,23266.0,11633.0,401228.0,145523.0,546751.0,56447.0
2019-09-01,584763.8324346744,23391.0,11695.0,403073.0,146604.0,549677.0,56447.0
2019-10-01,586782.579842389,23471.0,11735.0,404270.0,147305.0,551575.0,56447.0
2019-11-01,587707.8390709249,23508.0,11754.0,404818.0,147626.0,552444.0,56447.0
2019-12-01,589390.1285773538,23576.0,11787.0,405816.0,148210.0,554026.0,56447.0
2020-01-01,593511.7378681045,23740.0,11870.0,412288.0,145612.0,557900.0,54628.0
2020-02-01,594352.8826213189,23774.0,11887.0,412784.0,145906.0,558690.0,54628.0
2020-03-01,596119.2866030693,23845.0,11922.0,413828.0,146523.0,560351.0,54628.0
2020-04-01,615802.073828287,24632.0,12316.0,425449.0,153404.0,578853.0,54628.0
2020-05-01,617820.8212360016,24713.0,12356.0,426640.0,154110.0,580750.0,54628.0
2020-06-01,618830.194939859,24753.0,12376.0,427237.0,154463.0,581700.0,54628.0
2020-07-01,617904.935711323,24716.0,12358.0,426690.0,154139.0,580829.0,54628.0
2020-08-01,619166.6528411447,24767.0,12383.0,427436.0,154580.0,582016.0,54628.0
2020-09-01,624129.4068851098,24965.0,12482.0,430366.0,156315.0,586681.0,54628.0
2020-10-01,628419.2451265035,25137.0,12568.0,432898.0,157815.0,590713.0,54628.0
2020-11-01,630606.221484861,25224.0,12612.0,434189.0,158580.0,592769.0,54628.0
2020-12-01,631867.9386146826,25275.0,12637.0,434934.0,159020.0,593954.0,54628.0
2021-01-01,654915.3048527582,26197.0,13098.0,455471.0,160149.0,615620.0,50792.0
2021-02-01,657102.2812111157,26284.0,13142.0,456746.0,160929.0,617675.0,50792.0
2021-03-01,659373.3720447946,26375.0,13187.0,458071.0,161739.0,619810.0,50792.0
2021-04-01,661308.0049771878,26452.0,13226.0,459199.0,162430.0,621629.0,50792.0
2021-05-01,663915.5537121525,26557.0,13278.0,460720.0,163360.0,624080.0,50792.0
2021-06-01,666775.4458730817,26671.0,13335.0,462388.0,164380.0,626768.0,50792.0
2021-07-01,665850.1866445458,26634.0,13317.0,461849.0,164050.0,625899.0,50792.0
2021-08-01,667784.819576939,26711.0,13355.0,462976.0,164740.0,627716.0,50792.0
2021-09-01,672495.2301949398,26900.0,13449.0,465725.0,166420.0,632145.0,50792.0
2021-10-01,676112.1526337619,27044.0,13522.0,467834.0,167711.0,635545.0,50792.0
2021-11-01,677878.5566155121,27115.0,13557.0,468864.0,168341.0,637205.0,50792.0
2021-12-01,677962.6710908336,27118.0,13559.0,468913.0,168371.0,637284.0,50792.0
2022-01-01,702692.3268353379,28108.0,14053.0,487856.0,172674.0,660530.0,53916.0
2022-02-01,704879.3031936955,28195.0,14097.0,489132.0,173454.0,662586.0,53916.0
2022-03-01,706309.24927416,28252.0,14126.0,489966.0,173964.0,663930.0,53916.0
2022-04-01,717496.474491912,28700.0,14349.0,496491.0,177955.0,674446.0,53916.0
2022-05-01,720692.8245541268,28828.0,14413.0,498355.0,179095.0,677450.0,53916.0
2022-06-01,720608.7100788055,28824.0,14412.0,498306.0,179065.0,677371.0,53916.0
2022-07-01,719851.6798009124,28794.0,14397.0,497864.0,178795.0,676659.0,53916.0
2022-08-01,721281.6258813769,28851.0,14425.0,498699.0,179305.0,678004.0,53916.0
2022-09-01,727169.639153878,29087.0,14543.0,502132.0,181406.0,683538.0,53916.0
2022-10-01,729608.9589381998,29184.0,14592.0,503555.0,182276.0,685831.0,53916.0
2022-11-01,732216.5076731646,29289.0,14644.0,505077.0,183206.0,688283.0,53916.0
2022-12-01,761740.6885109913,30470.0,15234.0,522297.0,193738.0,716035.0,53916.0
2023-01-01,762918.2911654914,30517.0,15258.0,531300.0,185842.0,717142.0,59665.0
2023-02-01,766114.6412277062,30645.0,15322.0,533165.0,186982.0,720147.0,59665.0
2023-03-01,773264.3716300289,30931.0,15465.0,537336.0,189532.0,726868.0,59665.0
2023-04-01,785545.0850269597,31422.0,15710.0,544499.0,193913.0,738412.0,59665.0
2023-05-01,789919.0377436748,31597.0,15798.0,547049.0,195474.0,742523.0,59665.0
2023-06-01,798835.1721277478,31953.0,15976.0,552250.0,198654.0,750904.0,59665.0
2023-07-01,796732.3102447117,31869.0,15934.0,551024.0,197904.0,748928.0,59665.0
2023-08-01,799087.515553712,31963.0,15981.0,552397.0,198744.0,751141.0,59665.0
2023-09-01,806237.2459560347,32249.0,16124.0,556567.0,201295.0,757862.0,59665.0
2023-10-01,809265.3670676068,32371.0,16185.0,558334.0,202375.0,760709.0,59665.0
2023-11-01,811284.1144753214,32451.0,16225.0,559511.0,203095.0,762606.0,59665.0
2023-12-01,812798.1750311073,32512.0,16255.0,560395.0,203635.0,764030.0,59665.0
2024-01-01,816583.3264205722,32663.0,16331.0,569983.0,197605.0,767588.0,64926.0
2024-02-01,817929.1580257154,32717.0,16358.0,570767.0,198086.0,768853.0,64926.0
2024-03-01,837443.7163002903,33498.0,16748.0,582144.0,205052.0,787196.0,64926.0
2024-04-01,841312.9821650767,33652.0,16826.0,584399.0,206434.0,790833.0,64926.0
2024-05-01,842827.0427208627,33713.0,16856.0,585282.0,206975.0,792257.0,64926.0
2024-06-01,846780.4230609705,33871.0,16935.0,587587.0,208386.0,795973.0,64926.0
2024-07-01,848883.2849440066,33955.0,16977.0,588813.0,209137.0,797950.0,64926.0
2024-08-01,849556.200746578,33982.0,16991.0,589205.0,209377.0,798582.0,64926.0
2024-09-01,855528.3284944006,34221.0,17110.0,592687.0,211509.0,804196.0,64926.0
2024-10-01,857967.6482787224,34319.0,17159.0,594108.0,212380.0,806488.0,64926.0
2024-11-01,860659.3114890087,34426.0,17213.0,595678.0,213341.0,809019.0,64926.0
2024-12-01,864528.577353795,34581.0,17290.0,597934.0,214722.0,812656.0,64926.0
2025-01-01,891108.7515553712,35644.0,17822.0,618792.0,218849.0,837641.0,68691.0
2025-02-01,891529.3239319784,35661.0,17830.0,619038.0,218999.0,838037.0,68691.0
2025-03-01,894893.9029448362,35796.0,17897.0,620998.0,220201.0,841199.0,68691.0
2025-04-01,910623.3098299459,36425.0,18212.0,630167.0,225818.0,855985.0,68691.0
2025-05-01,912305.5993363748,36492.0,18246.0,631147.0,226419.0,857566.0,68691.0
2025-06-01,915838.4072998754,36634.0,18316.0,633207.0,227680.0,860887.0,68691.0
2025-07-01,913735.5454168393,36549.0,18274.0,631981.0,226929.0,858910.0,68691.0
2025-08-01,914913.1480713396,36597.0,18298.0,632668.0,227350.0,860018.0,68691.0
2025-09-01,922231.1074243053,36889.0,18444.0,636934.0,229963.0,866897.0,68691.0
2025-10-01,923661.0535047697,36946.0,18473.0,637767.0,230474.0,868241.0,68691.0
